Country,Date,Confirmed
Africa Eastern and Southern,1970-01-01 00:00:00.000002022,720859132.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002021,702977106.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002020,685112979.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002019,667242986.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002018,649757148.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002017,632746570.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002016,616377605.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002015,600008424.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002014,583651101.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002013,567892149.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002012,552530654.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002011,537792950.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002010,523459657.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002009,509410477.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002008,495748900.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002007,482406426.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002006,469508516.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002005,457153837.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002004,445281555.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002003,433807484.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002002,422741118.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002001,412001885.0
Africa Eastern and Southern,1970-01-01 00:00:00.000002000,401600588.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001999,391486231.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001998,381715600.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001997,372352230.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001996,362985802.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001995,353466601.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001994,344418362.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001993,335625136.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001992,326933522.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001991,318544083.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001990,309890664.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001989,301124880.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001988,292795186.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001987,284490394.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001986,276035920.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001985,267938123.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001984,260209149.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001983,252779730.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001982,245386717.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001981,237937461.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001980,230967858.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001979,224315978.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001978,217481420.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001977,211120911.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001976,205202669.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001975,199284304.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001974,193512956.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001973,187901657.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001972,182599092.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001971,177503186.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001970,172475766.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001969,167596160.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001968,162875171.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001967,158313235.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001966,153955516.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001965,149742351.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001964,145605995.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001963,141630546.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001962,137835590.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001961,134169237.0
Africa Eastern and Southern,1970-01-01 00:00:00.000001960,130692579.0
Africa Western and Central,1970-01-01 00:00:00.000002022,490330870.0
Africa Western and Central,1970-01-01 00:00:00.000002021,478185907.0
Africa Western and Central,1970-01-01 00:00:00.000002020,466189102.0
Africa Western and Central,1970-01-01 00:00:00.000002019,454306063.0
Africa Western and Central,1970-01-01 00:00:00.000002018,442646825.0
Africa Western and Central,1970-01-01 00:00:00.000002017,431138704.0
Africa Western and Central,1970-01-01 00:00:00.000002016,419778384.0
Africa Western and Central,1970-01-01 00:00:00.000002015,408690375.0
Africa Western and Central,1970-01-01 00:00:00.000002014,397855507.0
Africa Western and Central,1970-01-01 00:00:00.000002013,387204553.0
Africa Western and Central,1970-01-01 00:00:00.000002012,376797999.0
Africa Western and Central,1970-01-01 00:00:00.000002011,366489204.0
Africa Western and Central,1970-01-01 00:00:00.000002010,356337762.0
Africa Western and Central,1970-01-01 00:00:00.000002009,346475221.0
Africa Western and Central,1970-01-01 00:00:00.000002008,336893835.0
Africa Western and Central,1970-01-01 00:00:00.000002007,327612838.0
Africa Western and Central,1970-01-01 00:00:00.000002006,318601484.0
Africa Western and Central,1970-01-01 00:00:00.000002005,309824829.0
Africa Western and Central,1970-01-01 00:00:00.000002004,301265247.0
Africa Western and Central,1970-01-01 00:00:00.000002003,292977949.0
Africa Western and Central,1970-01-01 00:00:00.000002002,284952322.0
Africa Western and Central,1970-01-01 00:00:00.000002001,277160097.0
Africa Western and Central,1970-01-01 00:00:00.000002000,269611898.0
Africa Western and Central,1970-01-01 00:00:00.000001999,262397030.0
Africa Western and Central,1970-01-01 00:00:00.000001998,255482918.0
Africa Western and Central,1970-01-01 00:00:00.000001997,248713095.0
Africa Western and Central,1970-01-01 00:00:00.000001996,242200260.0
Africa Western and Central,1970-01-01 00:00:00.000001995,235861484.0
Africa Western and Central,1970-01-01 00:00:00.000001994,229675775.0
